Feature ranking:
206. AATSC8p (0.001257)
207. GATS1c (0.001255)
208. MATS3c (0.001255)
209. CIC3 (0.001253)
210. ATSC8c (0.001251)
211. naaCH (0.001247)
212. TPC (0.001247)
213. AATS1v (0.001244)
214. maxssssNp (0.001243)
215. GATS4p (0.001242)
216. MPC5 (0.001242)
217. JGI3 (0.001241)
218. GATS3v (0.001238)
219. minHCsats (0.001235)
220. maxsCH3 (0.001234)
221. AATS7p (0.001231)
222. AATS1p (0.001228)
223. nT6Ring (0.001226)
224. MATS2i (0.001223)
225. MATS1m (0.001222)
226. GATS5m (0.001221)
227. ATS3i (0.001221)
228. ATS3m (0.001219)
229. maxdsCH (0.001218)
230. minHCsatu (0.001217)
231. DELS (0.001216)
232. maxHCsatu (0.001212)
233. MATS3v (0.001209)
234. maxHssNH (0.001208)
235. ATSC8p (0.001207)
236. GATS2i (0.001206)
237. AMW (0.001203)
238. MPC6 (0.001203)
239. GATS1m (0.001201)
240. MATS3p (0.001199)
241. MIC3 (0.001199)
242. MATS3s (0.001198)
243. AATSC3p (0.001197)
244. nHaaCH (0.001195)
245. MATS2p (0.001194)
246. ATS2p (0.001193)
247. GATS3i (0.001190)
248. AATSC8c (0.001190)
249. GATS3p (0.001190)
250. AATSC3v (0.001188)
251. MPC7 (0.001188)
252. GATS1i (0.001188)
253. Mp (0.001188)
254. SwHBa (0.001187)
255. DELS2 (0.001182)
256. GATS2p (0.001182)
257. AATSC3s (0.001182)
258. GATS8i (0.001177)
259. maxwHBa (0.001177)
260. maxHBint5 (0.001177)
261. ETA_dBetaP (0.001177)
262. MPC4 (0.001175)
263. GATS4c (0.001174)
264. ATSC2v (0.001173)
265. MPC3 (0.001172)
266. ETA_Eta (0.001169)
267. AATS1m (0.001164)
268. ATS3v (0.001164)
269. maxHCsats (0.001160)
270. MDEC-11 (0.001159)
271. AATS6s (0.001158)
272. ETA_Shape_P (0.001158)
273. IC2 (0.001157)
274. MLFER_E (0.001157)
275. ATS3e (0.001156)
276. ATSC3m (0.001155)
277. MATS5m (0.001154)
278. MPC8 (0.001152)
279. ATS5m (0.001152)
280. mindsCH (0.001150)
281. AATS5v (0.001150)
282. ATS0p (0.001149)
283. MATS4i (0.001149)
284. ATSC5s (0.001148)
285. naaN (0.001146)
286. ATSC4c (0.001145)
287. SRW9 (0.001143)
288. AATS3p (0.001143)
289. SHssNH (0.001141)
290. ATSC4i (0.001141)
291. minsCH3 (0.001141)
292. AATS5e (0.001139)
293. MATS5e (0.001139)
294. TSRW (0.001138)
295. nssssNp (0.001137)
296. JGI2 (0.001136)
297. ATSC3e (0.001134)
298. AATS3v (0.001133)
299. AATS4v (0.001130)
300. ATS4p (0.001130)
301. ETA_Eta_B_RC (0.001130)
302. SRW10 (0.001130)
303. MPC9 (0.001129)
304. ATSC6c (0.001128)
305. ATS4m (0.001128)
306. ATSC3i (0.001127)
307. MIC2 (0.001126)
308. MATS4m (0.001126)
309. AATS2i (0.001123)
310. SRW8 (0.001121)
311. AATS0p (0.001119)
312. ATSC7i (0.001117)
313. ATS4i (0.001116)
314. ATS2v (0.001115)
315. MWC8 (0.001115)
316. ETA_BetaP_ns (0.001113)
317. EE_Dt (0.001112)
318. WPOL (0.001110)
319. MATS5c (0.001110)
320. ATSC4s (0.001110)
321. AATSC3m (0.001109)
322. MWC10 (0.001108)
323. ETA_Beta_ns_d (0.001108)
324. AATS4m (0.001107)
325. ATSC7v (0.001107)
326. AATS5p (0.001107)
327. GATS6s (0.001106)
328. AATSC4s (0.001105)
329. GATS5s (0.001105)
330. MATS3i (0.001104)
331. GGI1 (0.001104)
332. MATS8c (0.001103)
333. GATS3s (0.001102)
334. MWC9 (0.001102)
335. ETA_BetaP_ns_d (0.001102)
336. maxHother (0.001101)
337. nsCl (0.001099)
338. MATS6c (0.001098)
339. ATS4v (0.001097)
340. BIC3 (0.001097)
341. AATSC4c (0.001096)
342. bpol (0.001094)
343. AATS0m (0.001093)
344. ATS4e (0.001090)
345. AATSC4i (0.001090)
346. ETA_Eta_B (0.001090)
347. GATS6e (0.001088)
348. maxdssC (0.001088)
349. MIC4 (0.001088)
350. MPC10 (0.001087)
351. MWC6 (0.001086)
352. MATS5s (0.001084)
353. ATS2i (0.001083)
354. AATSC5s (0.001082)
355. nCl (0.001082)
356. ATSC5c (0.001080)
357. VE2_D (0.001079)
358. SssO (0.001078)
359. AATSC4e (0.001077)
360. AATSC2v (0.001076)
361. AATS3e (0.001075)
362. MATS4c (0.001074)
363. SaaN (0.001074)
364. SIC3 (0.001071)
365. VE1_D (0.001071)
366. GGI2 (0.001070)
367. VE3_D (0.001070)
368. MWC7 (0.001069)
369. ETA_BetaP (0.001069)
370. GATS1v (0.001069)
371. GATS2v (0.001068)
372. minHssNH (0.001067)
373. maxssO (0.001066)
374. AATSC1v (0.001065)
375. ATSC8e (0.001065)
376. CIC4 (0.001063)
377. ATSC5m (0.001063)
378. VE1_Dt (0.001063)
379. nsOH (0.001063)
380. Mi (0.001061)
381. MDEC-12 (0.001060)
382. GATS3m (0.001060)
383. ATS1m (0.001060)
384. JGI5 (0.001059)
385. AATS4p (0.001059)
386. ATS5i (0.001058)
387. AATSC5c (0.001058)
388. ATS6m (0.001057)
389. MATS8e (0.001057)
390. nsssCH (0.001057)
391. ATSC6e (0.001057)
392. ATS5e (0.001055)
393. nHsOH (0.001055)
394. AATS0i (0.001054)
395. GGI6 (0.001054)
396. nHBint4 (0.001053)
397. GGI5 (0.001053)
398. GATS7v (0.001052)
399. JGI8 (0.001052)
400. AATSC1p (0.001051)
401. AATSC6c (0.001051)
402. ATS0m (0.001049)
403. ATS4s (0.001048)
404. AATSC8e (0.001048)
405. ATSC1v (0.001048)
406. n6HeteroRing (0.001047)
407. GGI8 (0.001047)
408. GATS8v (0.001047)
409. nHeteroRing (0.001046)
410. SRW6 (0.001046)
411. AATS4e (0.001045)
412. nHBa (0.001045)
413. GATS5i (0.001044)
414. GATS6c (0.001044)
415. SsCH3 (0.001044)
416. nAtomLC (0.001044)
417. MWC5 (0.001043)
418. AATSC6e (0.001043)
419. MATS4e (0.001042)
420. AATS2e (0.001042)
421. AATSC5e (0.001042)
422. ATSC5e (0.001041)
423. MATS3e (0.001041)
424. AATSC3e (0.001040)
425. nHother (0.001040)
426. TpiPC (0.001039)
427. ETA_Beta_ns (0.001038)
428. GATS1p (0.001038)
429. MATS7i (0.001035)
430. ATSC5p (0.001035)
431. MIC5 (0.001034)
432. AATS5m (0.001033)
433. ETA_EtaP_B (0.001033)
434. AATSC7i (0.001033)
435. ATS2e (0.001032)
436. AATSC3i (0.001032)
437. ATSC4m (0.001032)
438. MATS3m (0.001031)
439. AATSC0p (0.001029)
440. nssO (0.001029)
441. MW (0.001028)
442. MDEC-13 (0.001027)
443. AATSC5m (0.001026)
444. GATS2m (0.001026)
445. MPC2 (0.001023)
446. GATS8m (0.001022)
447. AATS7i (0.001022)
448. nT6HeteroRing (0.001021)
449. ATSC5v (0.001020)
450. AATS8m (0.001020)
451. JGI9 (0.001020)
452. GATS4s (0.001019)
453. nRotBt (0.001018)
454. CrippenMR (0.001018)
455. MWC4 (0.001017)
456. GATS3c (0.001015)
457. ATSC4e (0.001015)
458. MATS6e (0.001015)
459. C2SP2 (0.001014)
460. SHBint6 (0.001014)
461. ATS6p (0.001014)
462. SsOH (0.001014)
463. ATS5p (0.001014)
464. AATS3m (0.001013)
465. AATSC4m (0.001012)
466. VE3_Dt (0.001012)
467. MATS1i (0.001012)
468. CIC5 (0.001012)
469. minssO (0.001011)
470. MATS4s (0.001011)
471. ATSC0v (0.001011)
472. JGT (0.001010)
473. ATSC7p (0.001010)
474. GATS4e (0.001009)
475. minsssN (0.001008)
476. AATSC7p (0.001007)
477. JGI4 (0.001007)
478. MATS2v (0.001005)
479. ETA_dEpsilon_B (0.001004)
480. SsssCH (0.001003)
481. ATS6i (0.001003)
482. ATS0v (0.001003)
483. MATS1p (0.001003)
484. nHBint5 (0.001003)
485. VE2_Dt (0.001002)
486. ETA_Alpha (0.001002)
487. minHBint6 (0.001002)
488. MATS1v (0.001001)
489. ATS1p (0.000998)
490. GATS3e (0.000996)
491. AATSC7v (0.000995)
492. AATS7s (0.000994)
493. fragC (0.000994)
494. piPC2 (0.000992)
495. ETA_Shape_Y (0.000992)
496. SIC5 (0.000991)
497. AATS7m (0.000991)
498. ATS6e (0.000990)
499. minHother (0.000990)
500. AATSC7c (0.000989)
501. ATS5v (0.000989)
502. maxHBint6 (0.000988)
503. ETA_Eta_F_L (0.000988)
504. ATSC1p (0.000987)
505. minssNH (0.000987)
506. C1SP3 (0.000986)
507. minHBint9 (0.000984)
508. McGowan_Volume (0.000984)
509. GATS7p (0.000983)
510. GATS7m (0.000982)
511. MATS7v (0.000982)
512. ATS6v (0.000981)
513. AATSC1i (0.000980)
514. SIC4 (0.000979)
515. AATS6p (0.000977)
516. MATS7m (0.000977)
517. SsCl (0.000977)
518. GATS8e (0.000976)
519. ATSC8v (0.000976)
520. ATSC7c (0.000975)
521. piPC5 (0.000975)
522. AATS6v (0.000974)
523. MATS5p (0.000974)
524. AATSC5v (0.000973)
525. MDEN-23 (0.000971)
526. MATS7p (0.000971)
527. GATS5p (0.000970)
528. BIC5 (0.000967)
529. nsCH3 (0.000967)
530. SHaaCH (0.000965)
531. minaaN (0.000963)
532. ATSC1i (0.000963)
533. SHBint5 (0.000963)
534. GATS7i (0.000962)
535. ATS5s (0.000962)
536. RotBtFrac (0.000962)
537. MDEO-12 (0.000962)
538. ATSC6i (0.000961)
539. AATS5i (0.000960)
540. MATS6s (0.000960)
541. piPC10 (0.000959)
542. nAtomP (0.000958)
543. nHBint9 (0.000957)
544. ATSC6s (0.000955)
545. AATS8v (0.000955)
546. MLFER_L (0.000954)
547. AATSC5p (0.000954)
548. MATS5v (0.000953)
549. MWC3 (0.000953)
550. Sp (0.000952)
551. WTPT-2 (0.000952)
552. ATSC0p (0.000950)
553. ATS7i (0.000950)
554. SssssNp (0.000948)
555. maxaaN (0.000947)
556. MATS5i (0.000947)
557. Zagreb (0.000946)
558. AATS4i (0.000944)
559. maxssNH (0.000943)
560. naAromAtom (0.000943)
561. ATSC6m (0.000942)
562. MATS7c (0.000941)
563. MDEC-33 (0.000940)
564. piPC4 (0.000940)
565. GATS8c (0.000939)
566. maxsssN (0.000939)
567. SRW4 (0.000939)
568. ATSC7m (0.000938)
569. GATS5v (0.000937)
570. apol (0.000934)
571. nBondsS (0.000934)
572. GATS7c (0.000932)
573. AATSC0m (0.000932)
574. AATS6m (0.000932)
575. ETA_BetaP_s (0.000931)
576. nT10Ring (0.000931)
577. maxHBint9 (0.000930)
578. GATS7e (0.000930)
579. maxHaaCH (0.000929)
580. BIC4 (0.000928)
581. AATSC8v (0.000928)
582. AATSC0i (0.000928)
583. MATS6m (0.000926)
584. MATS8v (0.000926)
585. AATS7e (0.000923)
586. ATS7p (0.000922)
587. ZMIC0 (0.000922)
588. AATSC7m (0.000920)
589. MWC2 (0.000919)
590. ETA_EtaP_B_RC (0.000919)
591. nAromBond (0.000917)
592. nF10Ring (0.000917)
593. ETA_Beta (0.000917)
594. nBondsM (0.000915)
595. IC3 (0.000915)
596. IC5 (0.000915)
597. AATS8s (0.000914)
598. GGI7 (0.000912)
599. nC (0.000912)
600. ATSC6p (0.000911)
601. ATS1v (0.000911)
602. piPC9 (0.000907)
603. nRotB (0.000907)
604. ATS0i (0.000906)
605. AATSC8s (0.000905)
606. MATS6i (0.000904)
607. piPC3 (0.000904)
608. ATS3s (0.000903)
609. SpMAD_D (0.000903)
610. nHBint6 (0.000903)
611. ATS7e (0.000902)
612. ETA_Eta_F (0.000902)
613. minssssC (0.000902)
614. AATSC6s (0.000901)
615. GATS5c (0.000899)
616. Si (0.000899)
617. AATS3i (0.000896)
618. nBonds2 (0.000896)
619. minHaaCH (0.000895)
620. MATS2m (0.000895)
621. MATS8s (0.000893)
622. piPC6 (0.000892)
623. ATS8i (0.000890)
624. ATS1i (0.000890)
625. SHdsCH (0.000889)
626. AATS8p (0.000889)
627. ATSC6v (0.000887)
628. nAtom (0.000887)
629. GATS4m (0.000886)
630. minHBint5 (0.000885)
631. SHother (0.000885)
632. SHBint9 (0.000885)
633. ATSC0m (0.000885)
634. JGI1 (0.000883)
635. AATSC5i (0.000883)
636. GGI9 (0.000881)
637. SpMax_Dt (0.000880)
638. piPC8 (0.000880)
639. Spe (0.000879)
640. GATS7s (0.000877)
641. ATS6s (0.000877)
642. SHCsatu (0.000876)
643. ATSC8s (0.000874)
644. nwHBa (0.000874)
645. AATSC7e (0.000874)
646. Sv (0.000873)
647. MATS7e (0.000873)
648. TWC (0.000868)
649. Sse (0.000866)
650. ATSC0i (0.000866)
651. AATSC6i (0.000866)
652. AATSC6m (0.000865)
653. GATS6p (0.000865)
654. IC4 (0.000864)
655. Kier2 (0.000862)
656. SpAD_Dt (0.000862)
657. nHdsCH (0.000862)
658. GATS8s (0.000859)
659. TIC3 (0.000859)
660. AATSC2m (0.000858)
661. TIC0 (0.000858)
662. ATS2s (0.000858)
663. ATS8e (0.000857)
664. Sare (0.000857)
665. RotBFrac (0.000857)
666. ATS7m (0.000856)
667. piPC7 (0.000856)
668. MATS8m (0.000854)
669. MATS6p (0.000853)
670. ATSC2m (0.000853)
671. ATS1e (0.000852)
672. topoRadius (0.000849)
673. ETA_Eta_R (0.000848)
674. FMF (0.000847)
675. ATS7v (0.000847)
676. AATS6e (0.000846)
677. AATSC7s (0.000846)
678. AATS6i (0.000846)
679. ndsCH (0.000846)
680. SpMAD_Dt (0.000846)
681. ATS0e (0.000843)
682. GATS6m (0.000843)
683. MDEC-23 (0.000842)
684. TIC2 (0.000842)
685. TIC5 (0.000841)
686. TIC4 (0.000841)
687. AATS8e (0.000841)
688. ATSC5i (0.000840)
689. SpDiam_Dt (0.000840)
690. AATSC6p (0.000835)
691. VAdjMat (0.000834)
692. MATS6v (0.000833)
693. Kier1 (0.000833)
694. ETA_Beta_s (0.000832)
695. SRW2 (0.000829)
696. ETA_Epsilon_3 (0.000828)
697. C3SP2 (0.000824)
698. JGI7 (0.000824)
699. MATS7s (0.000823)
700. piPC1 (0.000822)
701. EE_D (0.000819)
702. nBonds (0.000819)
703. nRing (0.000816)
704. WTPT-1 (0.000816)
705. SpDiam_D (0.000815)
706. AATSC6v (0.000813)
707. ATSC8m (0.000812)
708. nHeavyAtom (0.000812)
709. VR2_D (0.000812)
710. nTRing (0.000812)
711. naaaC (0.000812)
712. topoDiameter (0.000811)
713. SssNH (0.000804)
714. ATS8p (0.000802)
715. nAtomLAC (0.000802)
716. ATSC7e (0.000802)
717. nHCsatu (0.000802)
718. SpMax_D (0.000801)
719. VR1_D (0.000800)
720. SsssN (0.000800)
721. TIC1 (0.000799)
722. GATS6v (0.000798)
723. nF11Ring (0.000795)
724. nT11Ring (0.000792)
725. SpAD_D (0.000789)
726. SdsCH (0.000788)
727. ETA_Eta_R_L (0.000787)
728. nT11HeteroRing (0.000785)
729. ATSC7s (0.000781)
730. ATS7s (0.000781)
731. AATSC8m (0.000780)
732. ATS8m (0.000778)
733. ECCEN (0.000774)
734. ATS8v (0.000770)
735. GATS6i (0.000768)
736. SaaaC (0.000765)
737. SssssC (0.000764)
738. maxsF (0.000764)
739. SsF (0.000763)
740. nFRing (0.000762)
741. nF (0.000762)
742. nHssNH (0.000760)
743. nssNH (0.000759)
744. maxaaaC (0.000758)
745. minsF (0.000758)
746. nF11HeteroRing (0.000757)
747. nHBint3 (0.000753)
748. nsF (0.000752)
749. ATS8s (0.000750)
750. JGI10 (0.000744)
751. WPATH (0.000739)
752. JGI6 (0.000739)
753. MDEO-22 (0.000739)
754. nssssC (0.000735)
755. nF9HeteroRing (0.000732)
756. AATS8i (0.000732)
757. nS (0.000730)
758. nT9HeteroRing (0.000726)
759. minaaaC (0.000725)
760. VR2_Dt (0.000717)
761. PetitjeanNumber (0.000715)
762. minHBint3 (0.000711)
763. nF9Ring (0.000703)
764. GGI10 (0.000703)
765. nT9Ring (0.000698)
766. maxHBint3 (0.000694)
767. minHBint8 (0.000693)
768. MDEC-14 (0.000693)
769. maxaasN (0.000692)
770. SHBint3 (0.000692)
771. MDEN-12 (0.000690)
772. nF10HeteroRing (0.000690)
773. minaasN (0.000689)
774. nT7HeteroRing (0.000685)
775. nT10HeteroRing (0.000684)
776. nsssN (0.000681)
777. ETA_dAlpha_A (0.000677)
778. nHBint7 (0.000676)
779. C3SP3 (0.000674)
780. n7HeteroRing (0.000673)
781. VR1_Dt (0.000669)
782. maxssssC (0.000663)
783. naaO (0.000659)
784. MDEC-24 (0.000656)
785. naasN (0.000655)
786. SaasN (0.000654)
787. C4SP3 (0.000649)
788. nT7Ring (0.000643)
789. ETA_Shape_X (0.000633)
790. SHBint7 (0.000623)
791. SaaO (0.000622)
792. maxaaO (0.000620)
793. n7Ring (0.000613)
794. LipinskiFailures (0.000611)
795. minaaO (0.000606)
796. maxHBint7 (0.000602)
797. minHBint7 (0.000599)
798. maxHBint8 (0.000590)
799. MDEC-34 (0.000572)
800. SHBint8 (0.000564)
801. ntN (0.000548)
802. nHBint8 (0.000546)
803. minssS (0.000543)
804. maxtN (0.000532)
805. MDEC-44 (0.000531)
806. nBondsT (0.000529)
807. nTG12Ring (0.000527)
808. mintN (0.000526)
809. nssS (0.000526)
810. SssS (0.000526)
811. StN (0.000526)
812. nFG12Ring (0.000518)
813. nFG12HeteroRing (0.000513)
814. nTG12HeteroRing (0.000510)
815. ntsC (0.000510)
816. mintsC (0.000509)
817. maxtsC (0.000508)
818. MDEN-33 (0.000506)
819. StsC (0.000499)
820. SHsNH2 (0.000471)
821. maxHsNH2 (0.000465)
822. minHsNH2 (0.000457)
823. maxHBint10 (0.000443)
824. nF8HeteroRing (0.000436)
825. nHBint10 (0.000433)
826. nT8HeteroRing (0.000432)
827. SHBint10 (0.000430)
828. SsNH2 (0.000429)
829. minHBint10 (0.000427)
830. nF8Ring (0.000426)
831. nddssS (0.000424)
832. nT8Ring (0.000419)
833. nsNH2 (0.000412)
834. maxsNH2 (0.000409)
835. nHsNH2 (0.000408)
836. minsNH2 (0.000399)
837. nT12Ring (0.000398)
838. SddssS (0.000393)
839. nF12Ring (0.000393)
840. SaaNH (0.000393)
841. minddssS (0.000392)
842. maxaaNH (0.000387)
843. minaaNH (0.000387)
844. maxsOm (0.000384)
845. nHaaNH (0.000383)
846. minsOm (0.000382)
847. SHaaNH (0.000369)
848. naaNH (0.000366)
849. nT12HeteroRing (0.000366)
850. nF12HeteroRing (0.000365)
851. maxHaaNH (0.000364)
852. minHaaNH (0.000363)
853. maxsBr (0.000348)
854. nsOm (0.000339)
855. SsOm (0.000327)
856. minsBr (0.000323)
857. MDEN-13 (0.000321)
858. SaaS (0.000311)
859. naaS (0.000308)
860. minaaS (0.000307)
861. SdCH2 (0.000295)
862. nHdCH2 (0.000294)
863. ndCH2 (0.000290)
864. SsBr (0.000287)
865. mindCH2 (0.000280)
866. minHdCH2 (0.000279)
867. nsBr (0.000279)
868. SHdCH2 (0.000277)
869. maxdCH2 (0.000277)
870. nBr (0.000277)
871. maxHdCH2 (0.000268)
872. ndS (0.000248)
873. SdS (0.000248)
874. maxdS (0.000240)
875. nHCHnX (0.000239)
876. mindS (0.000239)
877. nwHBd (0.000237)
878. ndssS (0.000235)
879. maxHCHnX (0.000230)
880. SdssS (0.000229)
881. mindssS (0.000223)
882. maxwHBd (0.000223)
883. minwHBd (0.000220)
884. C1SP1 (0.000220)
885. minHCHnX (0.000218)
886. nHAvin (0.000218)
887. minHAvin (0.000215)
888. SHCHnX (0.000215)
889. maxHAvin (0.000211)
890. SwHBd (0.000211)
891. SHAvin (0.000208)
892. SRW3 (0.000201)
893. n3Ring (0.000199)
894. C2SP1 (0.000154)
895. MDEN-11 (0.000144)
896. ETA_dPsi_B (0.000137)
897. nF7Ring (0.000124)
898. nG12Ring (0.000123)
899. nG12HeteroRing (0.000121)
900. nT4HeteroRing (0.000113)
901. n4HeteroRing (0.000113)
902. nT4Ring (0.000113)
903. n4Ring (0.000110)
904. SdsssP (0.000078)
905. nP (0.000078)
906. mindsssP (0.000073)
907. ndsssP (0.000071)
908. maxtCH (0.000069)
909. minHtCH (0.000069)
910. mintCH (0.000068)
911. ntCH (0.000068)
912. nHtCH (0.000068)
913. SHtCH (0.000067)
914. maxHtCH (0.000065)
915. nF6Ring (0.000065)
916. StCH (0.000065)
917. nddC (0.000044)
918. maxddC (0.000042)
919. SddC (0.000042)
920. minddC (0.000041)
921. SsI (0.000037)
922. minsI (0.000037)
923. nsI (0.000035)
924. nI (0.000034)
925. maxsI (0.000034)
926. nF6HeteroRing (0.000030)
927. n8Ring (0.000030)
928. nssssssS (0.000024)
929. SssssssS (0.000021)
930. minssssssS (0.000021)
931. SdNH (0.000017)
932. mindNH (0.000017)
933. nHdNH (0.000015)
934. SHdNH (0.000015)
935. maxdNH (0.000015)
936. minHdNH (0.000014)
937. maxHdNH (0.000014)
938. ndNH (0.000014)
939. n9HeteroRing (0.000012)
940. n9Ring (0.000012)
941. n3HeteroRing (0.000006)
942. SHsssNHp (0.000003)
943. minHsssNHp (0.000002)
944. maxsssNHp (0.000002)
945. maxHsssNHp (0.000002)
946. SsssNHp (0.000002)
947. nHsssNHp (0.000002)
948. nsssNHp (0.000002)
949. minsssNHp (0.000002)
Number of features left:28
LDA:
             precision    recall  f1-score   support

          0       0.71      0.70      0.71       206
          1       0.73      0.77      0.75       300
          2       0.63      0.52      0.57        75

avg / total       0.71      0.71      0.71       581

Logistic regression:
             precision    recall  f1-score   support

          0       0.71      0.69      0.70       206
          1       0.71      0.80      0.75       300
