Feature ranking:
251. ATSC8p (0.000986)
252. PubchemFP418 (0.000985)
253. ATS3e (0.000984)
254. AATS7v (0.000981)
255. maxsOH (0.000981)
256. MATS3s (0.000980)
257. minaaCH (0.000979)
258. AATS1m (0.000979)
259. maxaaCH (0.000977)
260. ATSC8c (0.000976)
261. ATS3v (0.000976)
262. PubchemFP452 (0.000976)
263. AATSC3s (0.000971)
264. minsssCH (0.000970)
265. PubchemFP550 (0.000969)
266. GATS5m (0.000965)
267. ATS4p (0.000965)
268. ATS4i (0.000964)
269. ATS0p (0.000962)
270. PubchemFP385 (0.000961)
271. GATS2i (0.000960)
272. nHBAcc3 (0.000959)
273. AATSC3m (0.000958)
274. AATS7p (0.000958)
275. GATS1i (0.000957)
276. SsCH3 (0.000953)
277. ATS2v (0.000952)
278. MIC3 (0.000951)
279. ETA_Eta_B (0.000950)
280. BIC3 (0.000950)
281. JGI3 (0.000950)
282. SRW10 (0.000950)
283. MPC6 (0.000950)
284. SRW8 (0.000950)
285. MDEC-12 (0.000948)
286. ETA_Epsilon_5 (0.000946)
287. ETA_Eta_B_RC (0.000945)
288. MATS4m (0.000945)
289. naasC (0.000945)
290. MPC4 (0.000945)
291. MPC3 (0.000944)
292. AATSC2v (0.000941)
293. R_TpiPCTPC (0.000940)
294. MPC7 (0.000939)
295. PubchemFP37 (0.000938)
296. maxsCH3 (0.000937)
297. ATSC3e (0.000937)
298. ATS4v (0.000936)
299. maxHCsats (0.000934)
300. bpol (0.000933)
301. ATS4e (0.000933)
302. MATS4i (0.000932)
303. Mp (0.000931)
304. nT6Ring (0.000931)
305. ETA_dBetaP (0.000930)
306. GATS3m (0.000929)
307. ATS5m (0.000929)
308. GATS4c (0.000927)
309. AATS3p (0.000926)
310. GATS3i (0.000926)
311. ATS4m (0.000925)
312. ndsN (0.000924)
313. SdsN (0.000923)
314. PubchemFP734 (0.000922)
315. PubchemFP294 (0.000922)
316. nX (0.000921)
317. AATS3v (0.000921)
318. GGI1 (0.000921)
319. TSRW (0.000920)
320. MWC8 (0.000920)
321. ATS2i (0.000919)
322. SaasC (0.000919)
323. PubchemFP368 (0.000919)
324. AATS5e (0.000918)
325. AATS4m (0.000917)
326. MWC10 (0.000916)
327. GATS6s (0.000915)
328. GATS8i (0.000915)
329. MWC9 (0.000914)
330. DELS (0.000914)
331. ATSC3i (0.000913)
332. MPC8 (0.000912)
333. AATS2i (0.000911)
334. ATSC4i (0.000910)
335. IC2 (0.000910)
336. MATS3m (0.000909)
337. DELS2 (0.000909)
338. ATS5i (0.000907)
339. PubchemFP380 (0.000907)
340. WPOL (0.000906)
341. MIC2 (0.000906)
342. AATS0p (0.000905)
343. MATS5m (0.000904)
344. MWC7 (0.000904)
345. SRW5 (0.000903)
346. SIC3 (0.000901)
347. MWC6 (0.000901)
348. AATS4v (0.000900)
349. minaasC (0.000898)
350. AATSC8c (0.000897)
351. ETA_BetaP_ns (0.000896)
352. EE_Dt (0.000895)
353. PubchemFP15 (0.000894)
354. MATS3i (0.000893)
355. ETA_EtaP_B (0.000892)
356. GATS1v (0.000892)
357. MLFER_E (0.000892)
358. GATS2m (0.000891)
359. MATS3e (0.000890)
360. MATS2v (0.000890)
361. GATS2v (0.000888)
362. GATS5i (0.000886)
363. ATS5e (0.000886)
364. AATS0m (0.000886)
365. AATS6s (0.000886)
366. minsCH3 (0.000885)
367. MATS5e (0.000884)
368. SRW6 (0.000882)
369. MPC9 (0.000882)
370. VE3_D (0.000881)
371. ATSC5s (0.000881)
372. AATSC3e (0.000881)
373. CIC4 (0.000880)
374. ATSC4c (0.000879)
375. AATS3e (0.000879)
376. VE2_D (0.000879)
377. maxwHBa (0.000878)
378. JGI5 (0.000877)
379. GATS5s (0.000876)
380. MDEC-13 (0.000876)
381. PubchemFP180 (0.000876)
382. GGI6 (0.000876)
383. PubchemFP643 (0.000875)
384. maxdsCH (0.000873)
385. PubchemFP373 (0.000873)
386. n5HeteroRing (0.000872)
387. AATSC4i (0.000872)
388. MIC4 (0.000872)
389. AATSC1p (0.000872)
390. CrippenMR (0.000871)
391. ATS6m (0.000871)
392. ATSC6c (0.000871)
393. GATS3s (0.000871)
394. PubchemFP192 (0.000870)
395. AATSC1v (0.000869)
396. JGT (0.000869)
397. ATS0v (0.000869)
398. maxdssC (0.000869)
399. MATS5s (0.000868)
400. ATS1m (0.000868)
401. McGowan_Volume (0.000866)
402. ATS6i (0.000865)
403. VE1_D (0.000865)
404. VE1_Dt (0.000865)
405. ATSC5p (0.000865)
406. MATS6c (0.000864)
407. MWC5 (0.000863)
408. MPC2 (0.000862)
409. ATS2e (0.000861)
410. MATS5c (0.000861)
411. AATSC5s (0.000860)
412. AATSC3i (0.000860)
413. AATSC4s (0.000860)
414. AATS5p (0.000859)
415. nsCH3 (0.000859)
416. naaCH (0.000858)
417. ATS0m (0.000858)
418. ATSC7i (0.000858)
419. GATS6e (0.000857)
420. AATS4e (0.000857)
421. ATSC7v (0.000856)
422. AATS5v (0.000856)
423. GATS1p (0.000856)
424. nHaaCH (0.000856)
425. MW (0.000855)
426. AATS3m (0.000855)
427. GATS3c (0.000854)
428. ATS5p (0.000854)
429. SwHBa (0.000853)
430. JGI2 (0.000850)
431. SRW7 (0.000849)
432. Mi (0.000849)
433. AATSC4m (0.000846)
434. ATSC0v (0.000845)
435. GATS6c (0.000845)
436. AATS4p (0.000843)
437. nT5HeteroRing (0.000843)
438. ATSC1v (0.000842)
439. MWC4 (0.000842)
440. MPC10 (0.000842)
441. AATS0i (0.000841)
442. SssssNp (0.000841)
443. ETA_Alpha (0.000841)
444. GATS3e (0.000840)
445. nRotBt (0.000840)
446. PubchemFP591 (0.000840)
447. VE2_Dt (0.000839)
448. GGI2 (0.000839)
449. mindsCH (0.000839)
450. CIC5 (0.000839)
451. ATSC5m (0.000838)
452. ATS4s (0.000838)
453. MIC5 (0.000835)
454. ATSC4m (0.000834)
455. SIC5 (0.000834)
456. MATS4e (0.000834)
457. MATS8c (0.000833)
458. AATSC4c (0.000832)
459. nAtomLC (0.000832)
460. ATS6p (0.000832)
461. AATS5m (0.000831)
462. nsssCH (0.000831)
463. ATSC4s (0.000831)
464. MATS5p (0.000831)
465. VE3_Dt (0.000829)
466. GATS4e (0.000829)
467. ATS1p (0.000829)
468. ATS6e (0.000829)
469. GGI8 (0.000828)
470. PubchemFP491 (0.000828)
471. PubchemFP797 (0.000827)
472. ATSC1p (0.000827)
473. MATS1p (0.000827)
474. ATS6v (0.000825)
475. GATS8v (0.000824)
476. PubchemFP256 (0.000824)
477. maxHBint5 (0.000823)
478. ATSC8v (0.000823)
479. GGI5 (0.000822)
480. maxHssNH (0.000821)
481. nHsOH (0.000821)
482. AATSC4e (0.000819)
483. AATS2e (0.000819)
484. BIC5 (0.000819)
485. AATSC5m (0.000819)
486. GATS5p (0.000819)
487. SIC4 (0.000818)
488. GATS4s (0.000817)
489. maxHother (0.000817)
490. ATS5v (0.000816)
491. PubchemFP697 (0.000816)
492. MATS4c (0.000815)
493. ETA_BetaP (0.000815)
494. MATS1v (0.000814)
495. PubchemFP673 (0.000813)
496. minsCl (0.000813)
497. PubchemFP299 (0.000809)
498. PubchemFP181 (0.000809)
499. ATSC6e (0.000808)
500. ATSC5v (0.000808)
501. AATSC5p (0.000808)
502. n5Ring (0.000808)
503. AATSC6c (0.000807)
504. AATSC5c (0.000807)
505. fragC (0.000806)
506. SHssNH (0.000805)
507. AATS7i (0.000805)
508. MATS7i (0.000805)
509. nHBa (0.000805)
510. apol (0.000803)
511. ETA_Beta_ns_d (0.000803)
512. MATS8e (0.000803)
513. nsOH (0.000803)
514. MATS7m (0.000802)
515. ATS5s (0.000802)
516. ETA_dEpsilon_B (0.000802)
517. PubchemFP501 (0.000802)
518. JGI8 (0.000802)
519. AATS4i (0.000802)
520. SsssCH (0.000802)
521. AATSC5e (0.000801)
522. Sp (0.000801)
523. nT5Ring (0.000800)
524. AATSC0p (0.000799)
525. SRW9 (0.000799)
526. MATS6e (0.000798)
527. minHCsatu (0.000798)
528. JGI4 (0.000798)
529. JGI9 (0.000797)
530. ATSC5c (0.000795)
531. maxHCsatu (0.000795)
532. GATS7v (0.000794)
533. ETA_Shape_Y (0.000793)
534. PubchemFP598 (0.000793)
535. PubchemFP362 (0.000793)
536. MATS1i (0.000793)
537. WTPT-2 (0.000793)
538. AATSC8e (0.000793)
539. minHBint9 (0.000792)
540. nBondsS (0.000792)
541. MWC3 (0.000791)
542. ATSC8e (0.000790)
543. ATSC5e (0.000790)
544. maxsCl (0.000789)
545. SssO (0.000788)
546. ATSC7p (0.000788)
547. AATSC7p (0.000788)
548. piPC2 (0.000787)
549. RotBtFrac (0.000786)
550. GATS5v (0.000785)
551. PubchemFP393 (0.000785)
552. AATS7m (0.000783)
553. AATSC6e (0.000782)
554. ATS7p (0.000782)
555. SRW4 (0.000781)
556. ATSC7c (0.000781)
557. PubchemFP345 (0.000779)
558. PubchemFP146 (0.000779)
559. JGI1 (0.000779)
560. MATS7v (0.000779)
561. MATS5v (0.000779)
562. ETA_EtaP_B_RC (0.000779)
563. MATS7p (0.000779)
564. AATSC5v (0.000779)
565. PubchemFP528 (0.000779)
566. PubchemFP503 (0.000778)
567. AATSC1i (0.000778)
568. GATS7p (0.000778)
569. MATS4s (0.000778)
570. MATS6m (0.000777)
571. ATS1v (0.000777)
572. AATSC7i (0.000777)
573. ATSC6i (0.000776)
574. AATSC7c (0.000776)
575. ATS7i (0.000776)
576. AATSC7v (0.000775)
577. MATS2m (0.000775)
578. Zagreb (0.000775)
579. ATS7e (0.000774)
580. BIC4 (0.000773)
581. PubchemFP540 (0.000771)
582. Si (0.000771)
583. nHother (0.000771)
584. GATS8m (0.000770)
585. ATSC7m (0.000769)
586. MATS5i (0.000769)
587. ATSC0p (0.000769)
588. AATS5i (0.000769)
589. AATS6v (0.000768)
590. TpiPC (0.000767)
591. ATS0i (0.000766)
592. ETA_BetaP_ns_d (0.000766)
593. SsOH (0.000765)
594. SHBint6 (0.000765)
595. AATSC8v (0.000764)
596. ATSC1i (0.000763)
597. ZMIC0 (0.000763)
598. MWC2 (0.000763)
599. GATS8e (0.000763)
600. minHBint6 (0.000762)
601. nHBint4 (0.000762)
602. ETA_Eta_F_L (0.000761)
603. ATSC4e (0.000761)
604. PubchemFP349 (0.000761)
605. AATS8m (0.000761)
606. AATSC7m (0.000759)
607. ATS3s (0.000757)
608. GATS4m (0.000757)
609. maxssO (0.000757)
610. nBonds2 (0.000756)
611. ATS8i (0.000756)
612. AATS6p (0.000756)
613. PubchemFP335 (0.000755)
614. ATSC6m (0.000755)
615. nC (0.000755)
616. MDEC-33 (0.000755)
617. MATS6s (0.000755)
618. nAtom (0.000754)
619. AATS7s (0.000753)
620. GATS7m (0.000753)
621. ETA_Beta_ns (0.000752)
622. PubchemFP702 (0.000751)
623. maxHBint6 (0.000751)
624. PubchemFP453 (0.000751)
625. ATS1i (0.000750)
626. AATS3i (0.000748)
627. GATS7e (0.000748)
628. Sv (0.000748)
629. IC5 (0.000744)
630. GATS8c (0.000744)
631. minsssN (0.000742)
632. nssO (0.000741)
633. GATS7c (0.000740)
634. C1SP3 (0.000740)
635. Sse (0.000739)
636. AATSC2m (0.000738)
637. MATS7c (0.000738)
638. minHssNH (0.000737)
639. ETA_Eta_R (0.000737)
640. AATS6m (0.000737)
641. ETA_Eta_F (0.000736)
642. ATSC6p (0.000736)
643. MATS6i (0.000736)
644. AATSC0m (0.000735)
645. MLFER_L (0.000734)
646. GGI7 (0.000734)
647. ATSC2m (0.000733)
648. AATSC5i (0.000733)
649. GATS5c (0.000731)
650. Spe (0.000730)
651. nHBint9 (0.000729)
652. ATS6s (0.000729)
653. piPC5 (0.000729)
654. ATSC6s (0.000727)
655. GATS7i (0.000727)
656. nF10Ring (0.000726)
657. AATS7e (0.000725)
658. ATS0e (0.000724)
659. maxsssN (0.000723)
660. MATS8v (0.000723)
661. ATS1e (0.000722)
662. ATS8e (0.000722)
663. TWC (0.000721)
664. VAdjMat (0.000720)
665. PubchemFP636 (0.000719)
666. maxHBint9 (0.000718)
667. Sare (0.000717)
668. GATS7s (0.000717)
669. nT10Ring (0.000717)
670. nRotB (0.000716)
671. TIC3 (0.000714)
672. nHBint5 (0.000714)
673. ATS7v (0.000714)
674. piPC4 (0.000711)
675. MATS8m (0.000711)
676. GATS6p (0.000710)
677. minssO (0.000709)
678. Kier1 (0.000709)
679. IC3 (0.000709)
680. ATSC0m (0.000708)
681. GATS6m (0.000708)
682. TIC0 (0.000708)
683. ETA_BetaP_s (0.000707)
684. nAtomP (0.000706)
685. nHeteroRing (0.000705)
686. AATSC6i (0.000705)
687. SHaaCH (0.000705)
688. SHBint5 (0.000705)
689. AATS6e (0.000702)
690. IC4 (0.000702)
691. AATS8v (0.000702)
692. minHother (0.000701)
693. TIC5 (0.000701)
694. SpMAD_D (0.000701)
695. n6HeteroRing (0.000700)
696. SpMax_Dt (0.000700)
697. AATSC6m (0.000698)
698. AATSC6s (0.000698)
699. SpAD_Dt (0.000698)
700. SRW2 (0.000697)
701. AATS8s (0.000696)
702. SHBint9 (0.000695)
703. ATSC6v (0.000694)
704. TIC2 (0.000693)
705. PubchemFP646 (0.000692)
706. Kier2 (0.000691)
707. ETA_Beta (0.000690)
708. AATSC7e (0.000689)
709. AATS6i (0.000689)
710. AATSC6p (0.000688)
711. TIC4 (0.000688)
712. piPC3 (0.000688)
713. ETA_Epsilon_3 (0.000688)
714. MATS7e (0.000687)
715. MATS6p (0.000687)
716. ATSC5i (0.000686)
717. RotBFrac (0.000684)
718. GGI9 (0.000684)
719. SHdsCH (0.000683)
720. ATS2s (0.000683)
721. PubchemFP798 (0.000683)
722. MDEO-12 (0.000683)
723. PubchemFP521 (0.000682)
724. ATS7m (0.000682)
725. PubchemFP692 (0.000682)
726. nHBint6 (0.000682)
727. SpMAD_Dt (0.000681)
728. ATS8p (0.000681)
729. PubchemFP346 (0.000680)
730. PubchemFP145 (0.000680)
731. ATSC0i (0.000679)
732. nHeavyAtom (0.000678)
733. VR2_D (0.000678)
734. PubchemFP188 (0.000676)
735. naaN (0.000676)
736. piPC1 (0.000675)
737. nT6HeteroRing (0.000674)
738. nBonds (0.000673)
739. MATS8s (0.000673)
740. nsCl (0.000673)
741. SpDiam_Dt (0.000673)
742. PubchemFP701 (0.000672)
743. PubchemFP690 (0.000672)
744. WTPT-1 (0.000672)
745. ETA_Eta_R_L (0.000671)
746. MATS6v (0.000671)
747. AATSC8s (0.000670)
748. C2SP2 (0.000670)
749. minssssC (0.000669)
750. AATSC6v (0.000668)
751. AATS8p (0.000668)
752. PubchemFP614 (0.000668)
753. GATS8s (0.000665)
754. piPC10 (0.000664)
755. PubchemFP735 (0.000664)
756. minssNH (0.000663)
757. ETA_Beta_s (0.000662)
758. piPC6 (0.000661)
759. AATSC0i (0.000661)
760. TIC1 (0.000661)
761. EE_D (0.000661)
762. nCl (0.000660)
763. PubchemFP696 (0.000660)
764. MDEN-23 (0.000659)
765. JGI7 (0.000659)
766. PubchemFP709 (0.000658)
767. nAtomLAC (0.000657)
768. ATSC8s (0.000655)
769. PubchemFP586 (0.000655)
770. minHBint5 (0.000655)
771. ndsCH (0.000653)
772. nHdsCH (0.000652)
773. maxHaaCH (0.000651)
774. piPC9 (0.000651)
775. SHother (0.000651)
776. nRing (0.000648)
777. PubchemFP206 (0.000648)
778. ATSC8m (0.000648)
779. SpAD_D (0.000646)
780. SpDiam_D (0.000645)
781. FMF (0.000645)
782. SpMax_D (0.000643)
783. nBondsM (0.000643)
784. GATS6v (0.000641)
785. piPC7 (0.000640)
786. ATS7s (0.000639)
787. VR1_D (0.000638)
788. ATSC7e (0.000637)
789. GATS6i (0.000636)
790. PubchemFP405 (0.000633)
791. AATS8e (0.000631)
792. topoRadius (0.000631)
793. AATSC7s (0.000630)
794. maxssNH (0.000629)
795. nwHBa (0.000629)
796. MATS7s (0.000627)
797. PubchemFP695 (0.000626)
798. nTRing (0.000624)
799. AATSC8m (0.000623)
800. SaaN (0.000623)
801. MDEC-23 (0.000623)
802. SsssN (0.000622)
803. minHaaCH (0.000621)
804. PubchemFP392 (0.000620)
805. piPC8 (0.000617)
806. SsCl (0.000615)
807. ATS8v (0.000614)
808. ATS8s (0.000613)
809. PubchemFP365 (0.000613)
810. topoDiameter (0.000612)
811. SHCsatu (0.000611)
812. ATSC7s (0.000609)
813. PubchemFP333 (0.000607)
814. ECCEN (0.000607)
815. naAromAtom (0.000606)
816. SdsCH (0.000604)
817. PubchemFP24 (0.000604)
818. JGI6 (0.000603)
819. PubchemFP396 (0.000602)
820. PubchemFP257 (0.000601)
821. ATS8m (0.000601)
822. VR2_Dt (0.000598)
823. nAromBond (0.000596)
824. PubchemFP691 (0.000595)
825. WPATH (0.000595)
826. maxssssC (0.000594)
827. SssssC (0.000591)
828. nssssC (0.000589)
829. PubchemFP465 (0.000588)
830. PubchemFP593 (0.000587)
831. MDEC-14 (0.000585)
832. PubchemFP366 (0.000584)
833. PubchemFP357 (0.000583)
834. PubchemFP184 (0.000582)
835. PubchemFP779 (0.000582)
836. PubchemFP780 (0.000579)
837. PubchemFP639 (0.000578)
838. PubchemFP674 (0.000577)
839. MDEO-22 (0.000576)
840. nFRing (0.000574)
841. nHCsatu (0.000573)
842. PubchemFP717 (0.000568)
843. AATS8i (0.000566)
844. SssNH (0.000565)
845. VR1_Dt (0.000562)
846. PubchemFP704 (0.000562)
847. minHBint8 (0.000560)
848. PubchemFP597 (0.000560)
849. PetitjeanNumber (0.000560)
850. JGI10 (0.000557)
851. PubchemFP338 (0.000557)
852. GGI10 (0.000556)
853. PubchemFP391 (0.000552)
854. nHBint3 (0.000551)
855. PubchemFP487 (0.000548)
856. PubchemFP337 (0.000545)
857. C3SP2 (0.000543)
858. PubchemFP538 (0.000540)
859. ETA_dAlpha_A (0.000535)
860. nHssNH (0.000531)
861. PubchemFP605 (0.000531)
862. PubchemFP577 (0.000530)
863. minsF (0.000530)
864. MDEN-12 (0.000529)
865. nssNH (0.000528)
866. PubchemFP300 (0.000527)
867. nT10HeteroRing (0.000527)
868. PubchemFP450 (0.000525)
869. PubchemFP449 (0.000524)
870. PubchemFP445 (0.000523)
871. PubchemFP688 (0.000522)
872. SHBint3 (0.000522)
873. nsssN (0.000521)
874. C3SP3 (0.000520)
875. PubchemFP442 (0.000518)
876. ETA_Shape_X (0.000517)
877. PubchemFP555 (0.000517)
878. nF10HeteroRing (0.000515)
879. maxHBint3 (0.000515)
880. MDEC-24 (0.000513)
881. maxsF (0.000512)
882. PubchemFP644 (0.000511)
883. SsF (0.000509)
884. LipinskiFailures (0.000508)
885. PubchemFP800 (0.000508)
886. PubchemFP664 (0.000507)
887. PubchemFP431 (0.000506)
888. nT9HeteroRing (0.000504)
889. minHBint3 (0.000504)
890. PubchemFP23 (0.000503)
891. nF9HeteroRing (0.000501)
892. nT11HeteroRing (0.000500)
893. PubchemFP339 (0.000498)
894. PubchemFP659 (0.000497)
895. PubchemFP502 (0.000496)
896. PubchemFP287 (0.000496)
897. PubchemFP356 (0.000496)
898. nF9Ring (0.000495)
899. PubchemFP199 (0.000492)
900. nF (0.000489)
901. nF11Ring (0.000489)
902. PubchemFP571 (0.000488)
903. PubchemFP580 (0.000488)
904. nT9Ring (0.000487)
905. nF11HeteroRing (0.000487)
906. nT11Ring (0.000487)
907. nHBint7 (0.000486)
908. PubchemFP708 (0.000484)
909. nsF (0.000483)
910. minHBint7 (0.000483)
911. PubchemFP698 (0.000482)
912. PubchemFP435 (0.000482)
913. C4SP3 (0.000481)
914. PubchemFP359 (0.000481)
915. PubchemFP437 (0.000480)
916. nS (0.000479)
917. SaaaC (0.000479)
918. naaaC (0.000479)
919. maxaaaC (0.000477)
920. PubchemFP611 (0.000474)
921. PubchemFP615 (0.000471)
922. PubchemFP569 (0.000469)
923. MDEC-44 (0.000464)
924. SHBint7 (0.000463)
925. maxHBint7 (0.000462)
926. PubchemFP818 (0.000460)
927. minaaaC (0.000460)
928. PubchemFP459 (0.000459)
929. PubchemFP371 (0.000454)
930. MDEC-34 (0.000454)
931. PubchemFP374 (0.000453)
932. nT7HeteroRing (0.000453)
933. n7HeteroRing (0.000451)
